WRD_STR,ANC_STR,SMD_STR,Voter_Count
1,1A,1A01,1274
1,1A,1A02,1206
1,1A,1A03,1021
1,1A,1A04,1486
1,1A,1A05,1047
1,1A,1A06,1521
1,1A,1A07,1337
1,1A,1A08,1283
1,1A,1A09,1370
1,1A,1A10,1535
1,1B,1B01,1840
1,1B,1B02,1691
1,1B,1B03,1677
1,1B,1B04,2307
1,1B,1B05,1513
1,1B,1B06,1383
1,1B,1B07,1434
1,1B,1B08,1650
1,1B,1B09,1587
1,1C,1C01,1474
1,1C,1C02,1486
1,1C,1C03,1513
1,1C,1C04,1606
1,1C,1C05,1442
1,1C,1C06,1497
1,1C,1C07,1307
1,1C,1C08,1514
1,1C,1C09,1246
1,1D,1D01,1610
1,1D,1D02,788
1,1D,1D03,1251
1,1D,1D04,995
1,1D,1D05,1467
1,1D,1D06,1396
1,1D,1D07,1164
1,1E,1E01,1594
1,1E,1E02,1315
1,1E,1E03,1522
1,1E,1E04,1472
1,1E,1E05,875
1,1E,1E06,748
1,1E,1E07,598
2,2A,2A01,260
2,2A,2A02,1251
2,2A,2A03,919
2,2A,2A04,1347
2,2A,2A05,528
2,2A,2A06,1008
2,2A,2A07,211
2,2A,2A08,250
2,2A,2A09,295
2,2B,2B01,1594
2,2B,2B02,1285
2,2B,2B03,1453
2,2B,2B04,1349
2,2B,2B05,1414
2,2B,2B06,1136
2,2B,2B07,1313
2,2B,2B08,1661
2,2B,2B09,1637
2,2C,2C01,1545
2,2C,2C02,955
2,2C,2C03,987
2,2C,2C04,938
2,2D,2D01,997
2,2D,2D02,1039
2,2E,2E01,1251
2,2E,2E02,1051
2,2E,2E03,1179
2,2E,2E04,8
2,2E,2E05,951
2,2E,2E06,1483
2,2E,2E07,1401
2,2E,2E08,330
2,2F,2F01,1591
2,2F,2F02,1431
2,2F,2F03,1328
2,2F,2F04,1335
2,2F,2F05,997
2,2F,2F06,1224
2,2F,2F07,1306
2,2F,2F08,1141
2,2G,2G01,1341
2,2G,2G02,1615
2,2G,2G03,1711
2,2G,2G04,1189
2,2G,2G05,1297
2,2G,2G06,1706
2,4A,2A08,258
3,3/4G,3/4G05,1604
3,3/4G,3/4G06,1539
3,3/4G,3/4G07,1351
3,3A,3A01,2028
3,3A,3A02,1259
3,3A,3A03,1251
3,3A,3A04,977
3,3A,3A05,1224
3,3B,3B01,1145
3,3B,3B02,1339
3,3B,3B03,1378
3,3B,3B04,1383
3,3B,3B05,1290
3,3B,3B06,1113
3,3C,3C01,1533
3,3C,3C02,1447
3,3C,3C03,1551
3,3C,3C04,1484
3,3C,3C05,1590
3,3C,3C06,1410
3,3C,3C07,1445
3,3C,3C08,1409
3,3D,3D01,1377
3,3D,3D02,1359
3,3D,3D03,1320
3,3D,3D04,1467
3,3D,3D05,1128
3,3D,3D06,1288
3,3D,3D07,1372
3,3E,3E01,1292
3,3E,3E02,1447
3,3E,3E03,1512
3,3E,3E04,1447
3,3E,3E05,1187
3,3E,3E06,1422
3,3E,3E07,65
3,3E,3E08,125
3,3F,3F01,1532
3,3F,3F02,1167
3,3F,3F03,1500
3,3F,3F04,1302
3,3F,3F05,1246
3,3F,3F06,1567
4,3/4G,3/4G01,1681
4,3/4G,3/4G02,1569
4,3/4G,3/4G03,1678
4,3/4G,3/4G04,1627
4,4A,4A01,1797
4,4A,4A02,1722
4,4A,4A03,1735
4,4A,4A04,1216
4,4A,4A05,1086
4,4A,4A06,885
4,4A,4A07,868
4,4B,4B01,1458
4,4B,4B02,1445
4,4B,4B03,1675
4,4B,4B04,1715
4,4B,4B05,1391
